mean_rssi,num_active_bs,Latitude,Longitude,hour,soil_temp,soil_hum,battery
-64.0,1,0.0,0.0,10,12.09,17.66,96.0
-71.0,1,0.0,0.0,10,12.11,28.62,99.0
-73.0,1,0.0,0.0,10,12.58,22.24,107.0
-74.0,1,0.0,0.0,10,11.81,61.62,109.0
-65.0,1,0.0,0.0,10,12.14,45.75,100.0
-61.0,1,0.0,0.0,10,12.49,31.08,101.0
-75.0,1,0.0,0.0,10,11.7,21.94,99.0
-63.0,1,0.0,0.0,10,12.1,18.07,96.0
-69.0,1,0.0,0.0,10,12.12,28.09,100.0
-71.0,1,0.0,0.0,10,12.58,22.45,107.0
-75.0,1,0.0,0.0,10,11.82,61.76,109.0
-64.0,1,0.0,0.0,10,12.13,46.62,100.0
-56.0,1,0.0,0.0,10,12.48,30.94,101.0
-77.0,1,0.0,0.0,10,11.7,21.96,99.0
-67.0,1,0.0,0.0,10,12.11,18.39,96.0
-68.0,1,0.0,0.0,10,12.11,28.75,100.0
-71.0,1,0.0,0.0,10,12.58,22.82,107.0
-73.0,1,0.0,0.0,10,11.83,61.62,109.0
-67.0,1,0.0,0.0,10,12.14,45.88,100.0
-54.0,1,0.0,0.0,10,12.48,30.99,101.0
-75.0,1,0.0,0.0,10,11.71,23.39,99.0
-61.0,1,0.0,0.0,10,12.12,17.16,96.0
-65.0,1,0.0,0.0,10,12.11,27.72,99.0
-73.0,1,0.0,0.0,10,12.59,23.21,107.0
-72.0,1,0.0,0.0,10,11.85,61.53,109.0
-62.0,1,0.0,0.0,10,12.15,46.7,100.0
-60.0,1,0.0,0.0,10,12.48,30.71,101.0
-75.0,1,0.0,0.0,10,11.72,22.01,99.0
-60.0,1,0.0,0.0,10,12.09,17.7,96.0
-65.0,1,0.0,0.0,10,12.12,27.21,99.0
-71.0,1,0.0,0.0,10,12.59,23.36,107.0
-73.0,1,0.0,0.0,10,11.83,61.9,109.0
-54.0,1,0.0,0.0,10,12.49,30.68,101.0
-79.0,1,0.0,0.0,10,11.72,22.51,99.0
-62.0,1,0.0,0.0,10,12.1,17.53,96.0
-65.0,1,0.0,0.0,10,12.13,29.05,99.0
-71.0,1,0.0,0.0,10,12.57,22.77,107.0
-73.0,1,0.0,0.0,10,11.84,61.82,109.0
-62.0,1,0.0,0.0,10,12.14,46.39,100.0
-53.0,1,0.0,0.0,10,12.48,30.81,101.0
-78.0,1,0.0,0.0,11,11.71,22.51,99.0
-63.0,1,0.0,0.0,11,12.1,17.32,96.0
-68.0,1,0.0,0.0,11,12.12,27.74,99.0
-72.0,1,0.0,0.0,11,12.59,22.97,107.0
-74.0,1,0.0,0.0,11,11.83,61.87,109.0
-65.0,1,0.0,0.0,11,12.14,47.01,100.0
-55.0,1,0.0,0.0,11,12.46,30.79,101.0
-79.0,1,0.0,0.0,11,11.71,21.21,99.0
-63.0,1,0.0,0.0,11,12.11,17.68,96.0
-69.0,1,0.0,0.0,11,12.12,28.32,99.0
-73.0,1,0.0,0.0,11,12.58,23.73,107.0
-75.0,1,0.0,0.0,11,11.86,61.9,109.0
-65.0,1,0.0,0.0,11,12.14,46.6,100.0
-54.0,1,0.0,0.0,11,12.49,30.96,101.0
-79.0,1,0.0,0.0,11,11.71,21.43,99.0
-65.0,1,0.0,0.0,11,12.09,17.5,96.0
-69.0,1,0.0,0.0,11,12.11,28.41,100.0
-73.0,1,0.0,0.0,11,12.59,23.04,107.0
-74.0,1,0.0,0.0,11,11.87,61.93,109.0
-67.0,1,0.0,0.0,11,12.14,45.76,100.0
-62.0,1,0.0,0.0,11,12.47,30.63,101.0
-75.0,1,0.0,0.0,11,11.71,22.95,99.0
-65.0,1,0.0,0.0,11,12.1,18.58,96.0
-69.0,1,0.0,0.0,11,12.13,27.62,99.0
-72.0,1,0.0,0.0,11,12.58,23.27,107.0
-75.0,1,0.0,0.0,11,11.88,61.84,109.0
-65.0,1,0.0,0.0,11,12.14,47.03,100.0
-56.0,1,0.0,0.0,11,12.48,30.73,101.0
-75.0,1,0.0,0.0,11,11.73,22.27,99.0
-65.0,1,0.0,0.0,11,12.1,18.2,96.0
-69.0,1,0.0,0.0,11,12.15,28.29,100.0
-71.0,1,0.0,0.0,11,12.6,22.95,106.0
-74.0,1,0.0,0.0,11,11.86,61.82,109.0
-65.0,1,0.0,0.0,11,12.11,46.46,100.0
-53.0,1,0.0,0.0,11,12.48,31.02,101.0
-78.0,1,0.0,0.0,11,11.71,23.01,99.0
-62.0,1,0.0,0.0,11,12.11,16.71,96.0
-65.0,1,0.0,0.0,11,12.12,29.67,99.0
-74.0,1,0.0,0.0,11,12.6,22.78,107.0
-74.0,1,0.0,0.0,11,11.86,61.69,109.0
-63.0,1,0.0,0.0,11,12.14,47.4,100.0
-60.0,1,0.0,0.0,11,12.49,30.84,101.0
-75.0,1,0.0,0.0,11,11.74,23.21,99.0
-60.0,1,0.0,0.0,11,12.09,18.95,96.0
-66.0,1,0.0,0.0,11,12.14,28.38,99.0
-69.0,1,0.0,0.0,11,12.59,23.52,107.0
-72.0,1,0.0,0.0,11,11.88,61.83,109.0
-63.0,1,0.0,0.0,11,12.14,46.74,100.0
