episode,reward,loss
0,869.31861607195,0.5470297422759312
1,896.4560023177571,0.6036069093942642
2,909.4425922531407,0.45947804680466653
3,934.6828046126864,0.5073706313073635
4,971.7945035442161,0.5233063655495643
5,993.0588267252986,0.5537622426748275
6,1015.6557318437533,0.8230363974273205
7,1051.6343704530343,0.6811492550075054
8,1082.221224988014,0.7124249174594879
9,1103.3999352880069,0.7148201145529747
10,1131.860690955179,0.7116587975025177
11,1200.339716528978,0.9793033336400986
12,1196.2796596263117,0.7768385055065155
13,1230.4206859174037,0.7937623201608658
14,1206.098450944513,0.7682710847854615
15,1217.8492345848406,0.7743945989012718
16,1284.6777862549882,1.0651442596316338
17,1271.428289920583,0.8039360067844391
18,1265.7637500834544,0.8036912204623222
19,1341.3697719540842,0.7818112317323684
20,1351.0780393616724,0.7849622858166695
21,1341.9710070259507,1.0497711741924285
22,1410.7258592788376,0.8282029641866684
23,1388.8359128821273,0.7950716136097908
24,1412.3811217888303,0.79888697296381
25,1461.5587908916366,0.762984056353569
26,1397.3898638756893,1.147579523563385
27,1485.188164684779,0.9076132166683674
28,1433.0221208639757,0.8958797251582146
29,1531.152650657915,0.8496101914048195
30,1507.3148495423645,0.8282692815065384
31,1519.9953725626447,1.1296457901597023
32,1484.4551916234925,0.831068010032177
33,1500.1127203215265,0.8190916044712067
34,1530.406258222307,0.8055020024180413
35,1555.0596926170156,0.7887369049191475
36,1573.9335939126056,0.9036584037542343
37,1562.0549092743452,0.6491460393369198
38,1585.5608066267873,0.631800471574068
39,1630.4577925754702,0.6122709620893002
40,1574.3125579982068,0.5889540616869926
41,1645.3570423551641,0.8188089629113674
42,1608.450804789556,0.5641834611296653
43,1591.0285414102634,0.5576355984210968
44,1609.1866949787347,0.5622047501206398
45,1705.3796983680636,0.5495256989002227
46,1609.2886021725578,0.7683843211233616
47,1663.3992380016912,0.5011100337505341
48,1692.8675085546251,0.5027302884608507
49,1699.3180969692714,0.48760625913739203
